x,y,z
816164.7641,3385482.018,1.187451
816167.4043,3385480.431,1.847259
816165.4782,3385480.596,0.283309
816168.0938,3385476.566,4.898845
816163.0773,3385483.856,3.665821
816166.451,3385480.181,1.29034
816168.9966,3385475.26,6.436297
816163.5164,3385481.982,2.107009
816166.5404,3385480.405,1.211265
816159.9749,3385481.545,4.497902
816164.6483,3385476.132,2.578554
816163.0462,3385481.635,2.235251
816166.7486,3385479.857,1.727415
816166.093,3385479.282,1.608302
816169.9809,3385477.731,5.56257
816169.5122,3385474.054,7.615598
816165.8441,3385477.943,2.296797
816167.2188,3385480.203,1.856311
816165.6943,3385476.496,3.130908
816163.4121,3385478.982,0.221763
816166.451,3385480.181,1.29034
816160.6922,3385480.012,2.952052
816162.6851,3385480.848,1.992959
816166.1042,3385475.62,4.014262
816166.1334,3385474.621,4.690375
816168.7332,3385477.695,4.643011
816167.0788,3385478.423,2.915844
816170.6917,3385476.42,6.958164
816164.8713,3385478.359,1.289111
816161.4438,3385480.589,2.761682
816169.1968,3385478.263,4.621576
816168.0938,3385476.566,4.898845
816163.3147,3385482.309,2.473558
816162.68,3385477.739,0.038634
816167.51,3385480.101,2.143206
816162.724,3385479.517,1.092155
816166.9796,3385478.531,2.770152
816165.3837,3385477.264,2.393322
816162.9192,3385479.411,0.875207
816165.7171,3385475.719,3.656841
816160.3639,3385484.665,6.246509
816163.1325,3385481.971,2.389995
816166.451,3385480.181,1.29034
816168.0386,3385478.451,3.623018
816161.9984,3385478.052,0.681502
816162.093,3385481.385,2.792094
816165.9711,3385480.167,0.936753
816161.678,3385479.153,1.64451
816165.6034,3385479.601,1.029369
816167.5002,3385480.434,1.917785
816165.8863,3385476.501,3.272766
816164.102,3385481.666,1.457475
816165.5431,3385478.378,1.784481
816164.3102,3385481.117,0.94067
816166.5419,3385477.075,3.392535
816164.92,3385476.695,2.415336
816168.0061,3385479.56,2.872395
816162.6053,3385480.29,1.687959
816170.4687,3385474.193,8.247607
816162.5956,3385480.623,1.913305
816161.6603,3385483.038,4.20138
816164.7641,3385482.018,1.187451
816163.2396,3385478.311,0.087146
816163.8953,3385478.885,0.20699
816169.0146,3385477.925,4.70514
816167.5262,3385479.546,2.518808
816163.0787,3385480.526,1.484627
816167.7636,3385477.999,3.71107
816164.7605,3385475.58,3.024757
